car,fabricante,motor,combustivel,automatico,ano_fabrica,ano_modelo,km,anunciante,cidade,estado,regiao,preco,latitude,longitude,categoria
MERCEDES-BENZ GLE 350,MERCEDES-BENZ,3,DIESEL,1,2017,2017,87940,Concessionária,Campinas,SP,Sudeste,299400,-22.9053,-47.0659,SUV
AUDI A1,AUDI,1.4,GASOLINA,1,2016,2017,40524,Concessionária,Campinas,SP,Sudeste,96900,-22.9053,-47.0659,Carro
AUDI RS Q8,AUDI,4,GASOLINA,1,2021,2021,9925,Concessionária,Campinas,SP,Sudeste,1190000,-22.9053,-47.0659,SUV
BMW X4,BMW,3,GASOLINA,1,2018,2019,20000,Loja,Fortaleza,CE,Nordeste,429900,-3.71664,-38.5423,SUV
LEXUS NX 300h,LEXUS,2.5,HIBRIDO,1,2019,2020,4800,Loja,Fortaleza,CE,Nordeste,279900,-3.71664,-38.5423,SUV
MERCEDES-BENZ A 200,MERCEDES-BENZ,1.3,GASOLINA,1,2020,2021,2100,Loja,Fortaleza,CE,Nordeste,254900,-3.71664,-38.5423,Carro
LAND ROVER RANGE ROVER SPORT,LAND ROVER,2,HIBRIDO,1,2021,2021,4300,Loja,Limeira,SP,Sudeste,635900,-22.566,-47.397,SUV
MERCEDES-BENZ C 180,MERCEDES-BENZ,1.6,FLEX,1,2018,2018,24431,Loja,Atibaia,SP,Sudeste,155000,-23.1171,-46.5563,Carro
BMW 320i,BMW,2,FLEX,1,2017,2017,52000,Loja,Blumenau,SC,Sul,137900,-26.9155,-49.0709,Carro
MERCEDES-BENZ GLC 250,MERCEDES-BENZ,2,GASOLINA,1,2018,2019,30829,Loja,Divinópolis,MG,Sudeste,239999,-20.1446,-44.8912,SUV
PORSCHE MACAN,PORSCHE,2,GASOLINA,1,2020,2020,5000,Loja,Divinópolis,MG,Sudeste,479900,-20.1446,-44.8912,SUV
JEEP GRAND CHEROKEE,JEEP,3,DIESEL,1,2015,2015,81200,Loja,São Caetano do Sul,SP,Sudeste,168000,-23.6229,-46.5548,SUV
BMW 540i,BMW,3,GASOLINA,1,2019,2019,21249,Loja,São Paulo,SP,Sudeste,353660,-23.5329,-46.6395,Carro
BMW M 235i,BMW,2,GASOLINA,1,2020,2021,4000,Loja,Vinhedo,SP,Sudeste,359800,-23.0302,-46.9833,Carro
LAND ROVER DISCOVERY SPORT,LAND ROVER,2.2,DIESEL,1,2015,2016,80000,Loja,Santos,SP,Sudeste,199900,-23.9535,-46.335,SUV
VOLVO XC60,VOLVO,2,HIBRIDO,1,2020,2020,13500,Loja,São Paulo,SP,Sudeste,349900,-23.5329,-46.6395,SUV
MERCEDES-BENZ GLC 43 AMG,MERCEDES-BENZ,3,GASOLINA,1,2018,2018,16166,Loja,Divinópolis,MG,Sudeste,399900,-20.1446,-44.8912,SUV
LAND ROVER RANGE ROVER EVOQUE,LAND ROVER,2,GASOLINA,1,2014,2015,69000,Loja,Indaiatuba,SP,Sudeste,139990,-23.0816,-47.2101,SUV
AUDI Q3,AUDI,1.4,GASOLINA,1,2019,2020,8076,Concessionária,Maringá,PR,Sul,234990,-23.4205,-51.9333,SUV
JAGUAR E-PACE,JAGUAR,2,GASOLINA,1,2019,2019,8813,Loja,Brasília,DF,Centro-Oeste,289800,-15.7795,-47.9297,SUV
AUDI Q5,AUDI,3,GASOLINA,1,2015,2015,60000,Loja,Guarulhos,SP,Sudeste,169900,-23.4538,-46.5333,SUV
LAND ROVER RANGE ROVER EVOQUE,LAND ROVER,2,GASOLINA,1,2014,2015,88000,Loja,Vinhedo,SP,Sudeste,165800,-23.0302,-46.9833,SUV
MERCEDES-BENZ GLC 250,MERCEDES-BENZ,2,GASOLINA,1,2018,2019,24400,Loja,Medianeira,PR,Sul,249900,-25.2977,-54.0943,SUV
MERCEDES-BENZ SLC 43 AMG,MERCEDES-BENZ,3,GASOLINA,1,2016,2017,23300,Loja,São Caetano do Sul,SP,Sudeste,399780,-23.6229,-46.5548,Carro
MERCEDES-BENZ GLE 400,MERCEDES-BENZ,3,GASOLINA,1,2016,2016,64000,Loja,São Paulo,SP,Sudeste,319900,-23.5329,-46.6395,SUV
LAND ROVER RANGE ROVER SPORT,LAND ROVER,3,DIESEL,1,2015,2015,92000,Loja,Londrina,PR,Sul,289900,-23.304,-51.1691,SUV
MERCEDES-BENZ GLC 250,MERCEDES-BENZ,2,GASOLINA,1,2018,2019,23300,Loja,Juiz de Fora,MG,Sudeste,390900,-21.7595,-43.3398,SUV
MERCEDES-BENZ GLA 250,MERCEDES-BENZ,2,GASOLINA,1,2018,2018,35300,Loja,São Caetano do Sul,SP,Sudeste,198000,-23.6229,-46.5548,SUV
MERCEDES-BENZ C 180,MERCEDES-BENZ,1.6,GASOLINA,1,2018,2019,36300,Loja,Rio de Janeiro,RJ,Sudeste,172000,-22.9129,-43.2003,Carro
MERCEDES-BENZ A 250,MERCEDES-BENZ,2,GASOLINA,1,2021,2021,3700,Loja,São Paulo,SP,Sudeste,287900,-23.5329,-46.6395,Carro
BMW X3,BMW,2,GASOLINA,1,2018,2019,28572,Concessionária,Brasília,DF,Centro-Oeste,266900,-15.7795,-47.9297,SUV
AUDI A4,AUDI,1.8,GASOLINA,1,2014,2015,29800,Concessionária,São Paulo,SP,Sudeste,114900,-23.5329,-46.6395,Carro
LAND ROVER DISCOVERY SPORT,LAND ROVER,2,DIESEL,1,2016,2016,95000,Loja,São José dos Campos,SP,Sudeste,158900,-23.1896,-45.8841,SUV
AUDI Q3,AUDI,1.4,FLEX,1,2017,2018,52509,Loja,Cascavel,PR,Sul,125000,-24.9573,-53.459,SUV
